Date,T5YIE,T10YIE,T5YIFR,Response 
1/3/2003,-0.01538461538,-0.01,-0.0101010101,0.01502673024
1/4/2003,0.01171875,0,-0.002551020408,-0.003883274021
1/5/2003,0,0,0,0.003829818855
1/6/2003,0.01158301158,0,-0.002557544757,0.00006833207109
1/7/2003,-0.02290076336,-0.01,0.005128205128,-0.01138790036
1/8/2003,0.0390625,0.06,0.06632653061,0.01837293017
1/9/2003,0.06015037594,0.04,0.02870813397,-0.002488476656
1/10/2003,-0.007092198582,-0.02,-0.02325581395,0.005669737775
1/11/2003,0,0.01,0.009523809524,-0.005412262156
1/12/2003,-0.007142857143,0,0.009433962264,0.002664172548
1/13/2003,0.007194244604,0,0,0.002204822342
1/14/2003,-0.01428571429,-0.01,0,-0.009025525314
1/15/2003,0.02173913043,0.02,0.02336448598,-0.001707698876
1/16/2003,-0.007092198582,-0.01,-0.004566210046,0.01910192445
1/17/2003,0.03571428571,0.01,-0.01376146789,-0.002517834662
1/18/2003,0,0,0,0.003702145562
1/19/2003,-0.04827586207,-0.01,0.01395348837,0.003129628077
1/20/2003,-0.01449275362,-0.02,-0.01834862385,-0.00902532104
1/21/2003,0.01470588235,0.02,0.01869158879,0.005621925509
1/22/2003,-0.02898550725,-0.03,-0.03669724771,0.01146051712
1/23/2003,0.05970149254,0.03,0.01904761905,0.003316291281
1/24/2003,0.02816901408,0.01,0,0.01432309599
1/25/2003,0.003424657534,0.01,0.007009345794,-0.002769857434
1/26/2003,0.003412969283,0,0.002320185615,0.003975710045
1/27/2003,0,0,0.00462962963,0.002603813502
1/28/2003,0,-0.01,-0.009216589862,-0.001082104694
1/29/2003,0.03401360544,0.02,0.01395348837,-0.008937034529
1/30/2003,-0.03947368421,-0.03,-0.01834862385,0.01202350048
1/31/2003,0.02054794521,0.01,-0.004672897196,-0.005940326718
2/1/2003,0.01006711409,0,-0.007042253521,0.01184299878
2/2/2003,0.01661129568,0.01,0.002364066194,-0.0001610695015
2/3/2003,-0.006535947712,-0.01,-0.009433962264,-0.003758893811
2/4/2003,0.01315789474,0.02,0.01904761905,0.02748955666
2/5/2003,0.04545454545,0.03,0.02336448598,-0.02491803279
2/6/2003,0.006211180124,-0.01,-0.02283105023,-0.004572965703
